title,company,location,salary_min,salary_max,category,description,created,redirect_url
Developer,Tata Consultancy Services,"Hyderabad, Telangana",,,IT Jobs,"Greeting from TCS! We have an opening forS400 developer. Experience :2Yrs Location : PAN INDIA looking for AS400 developer with skills RPGLE, CLP ,DB2",2026-05-28T00:21:56Z,https://www.adzuna.in/land/ad/5742435162?se=in7baI1p8RGLEaLh4znBvA&utm_medium=api&utm_source=439bd393&v=4792ACE5A8C64805AC4468FCFB56749058EC06D8
Content Associate,upGrad Rekrut,"Noida, Ghaziabad",,,Creative & Design Jobs,"We are hiring for a leading Global Indoor Edutainment Park for the role of Content Associate . Key Responsibilities Create engaging, educational, and entertainment-driven content for children and families. Develop and execute innovative activity concepts, scripts, workshops, and experiential program",2026-06-06T07:37:27Z,https://www.adzuna.in/land/ad/5753853538?se=in7baI1p8RGLEaLh4znBvA&utm_medium=api&utm_source=439bd393&v=BF410F34D68546E16B714F62CA671A435089012E
Senior Fashion Designer — Women's Wear | Chennai,SITU,"Chennai, Tamil Nadu",,,Creative & Design Jobs,"Job Overview We are looking for an experienced, commercially sharp Senior Fashion Designer to join SITU's growing team in Chennai. This isn't a desk-and-mood-board role. You'll own design end-to-end from Chennai, coordinating closely with our Jaipur production team . If you understand both the creat",2026-06-11T21:11:23Z,https://www.adzuna.in/land/ad/5760052048?se=in7baI1p8RGLEaLh4znBvA&utm_medium=api&utm_source=439bd393&v=79015344DB19B040840AABF75438115685B848B9
Clinical Research professional,Vyas Cancer Research ,"Visakhapatnam, Andhra Pradesh",,,Scientific & QA Jobs,"Company Description Vyas Cancer Research (VCR Park) is a collaborative facility located in Andhra Pradesh, India. It fosters partnerships between service partners, entrepreneurs, ideators, and professionals to translate ideas into products or services. VCR Park provides state-of-the-art labs (for le",2026-04-30T14:50:08Z,https://www.adzuna.in/land/ad/5714425802?se=in7baI1p8RGLEaLh4znBvA&utm_medium=api&utm_source=439bd393&v=3368245B7DF571D57512850D411545ED89AD6D9D
Fashion E-Commerce & Category management Internship,TMRW House of Brands,"Bangalore, Karnataka",,,IT Jobs,"Data Analysis & Business Insights Analyze sales, traffic, conversion, and advertising data to identify trends and opportunities. Develop and maintain performance dashboards and reports using Excel and marketplace analytics tools. Support weekly and monthly business reviews by providing actionable in",2026-06-11T21:08:33Z,https://www.adzuna.in/land/ad/5760050384?se=in7baI1p8RGLEaLh4znBvA&utm_medium=api&utm_source=439bd393&v=EBE92F04451A36EC388476E30E32FAA405C0A19C
Senior DFT Engineer,Cadence,"Hyderabad, Telangana",,,Engineering Jobs,"About the Company Cadence is a pivotal leader in electronic design, building upon more than 30 years of computational software expertise. The company applies its underlying Intelligent System Design strategy to deliver software, hardware and IP that turn design concepts into reality. Cadence custome",2026-06-11T21:08:38Z,https://www.adzuna.in/land/ad/5760050458?se=in7baI1p8RGLEaLh4znBvA&utm_medium=api&utm_source=439bd393&v=38C99E799DBF978EDDB3C0B85A6A4478F7DF61FD
General Manager,CÉ LA VI,"Mumbai, Maharashtra",,,Hospitality & Catering Jobs,"CÉ LA VI Mumbai is seeking a dynamic and visionary General Manager to lead our venue, drive performance, and deliver exceptional guest experiences in line with our brand standards. General Manager Responsibilities: Oversee all aspects of venue operations to drive performance, profitability, and oper",2026-04-29T00:39:55Z,https://www.adzuna.in/land/ad/5712898114?se=in7baI1p8RGLEaLh4znBvA&utm_medium=api&utm_source=439bd393&v=64E59CD7F8604DB4CC370CF34581BD5DCC903ECC
Generative AI Engineer,IBM,"Bangalore, Karnataka",,,IT Jobs,"Key Requirements: - Build & Configure GenAI-based solutions (chatbots, copilots, content generators). - Integrate AI capabilities (NLP, CV, RAG, LLM APIs) into enterprise applications. - Construct tool-using multi-agent systems using LangChain, AutoGen, or LangGraph. - Fine-tune LLMs and configure p",2026-06-06T07:38:17Z,https://www.adzuna.in/land/ad/5753853831?se=in7baI1p8RGLEaLh4znBvA&utm_medium=api&utm_source=439bd393&v=545A000481B9E328415196746B99D4641C84D37A
National Placement Head,Anudip Foundation,"Bangalore, Karnataka",,,HR & Recruitment Jobs,"Job Description: National Placement Head Location: Any Metro City- (Kolkata, Delhi, Mumbai, Bangalore, Chennai, Hyderabad) Employment Type: Full-Time Candidate Must have bulk Placement Pan India Level (60,000 beneficiaries)) Role Overview The National Placement Head will lead and drive Anudip Founda",2026-05-14T15:12:16Z,https://www.adzuna.in/land/ad/5729064646?se=in7baI1p8RGLEaLh4znBvA&utm_medium=api&utm_source=439bd393&v=CFE291CF89E68940698E28144053ED4B4745CA3A
Brand Strategist,Hyperqube Ionic,India,,,IT Jobs,"We’re looking for a PMM / Startup Brand Strategist (Fractional/Full-time/Contractual) to help shape how we communicate: our immediate product value our long-term vision for modernizing private market infrastructure This is a strategic, founder-facing role focused on positioning, messaging, narrative",2026-05-24T17:55:57Z,https://www.adzuna.in/land/ad/5739767614?se=in7baI1p8RGLEaLh4znBvA&utm_medium=api&utm_source=439bd393&v=D1E9F49E621DD7A536BD155250D07F8A0B0CB4CC
SAP MM-LE Consultant,CloudLabs Inc,India,,,Consultancy Jobs,"About CloudLabs: CloudLabs Inc was founded in 2014 with the mission to provide exceptional IT & Business consulting services at a competitive price, to help clients realize the best value from their investments. Within a short span, CloudLabs evolved from pure-play consulting into a transformative p",2026-06-06T07:40:48Z,https://www.adzuna.in/land/ad/5753855160?se=in7baI1p8RGLEaLh4znBvA&utm_medium=api&utm_source=439bd393&v=930CFE899DA034EE66BB00641C164DC16BAD75E9
Senior Project Architect,Rhizome,"Gurgaon, Haryana",,,Trade & Construction Jobs,"Rhizome , an architectural firm based in Gurgaon , is looking for a passionate Senior Architect to join our growing team. We are seeking individuals who are eager to contribute their vision, creativity, knowledge, and experience to meaningful architectural projects. At Rhizome, we believe in nurturi",2026-06-09T01:52:24Z,https://www.adzuna.in/land/ad/5756539815?se=in7baI1p8RGLEaLh4znBvA&utm_medium=api&utm_source=439bd393&v=431606ED40801890B1850C64645D893BCFC0C1D3
Clinic Head Audiologist - Delhi NCR,HearClear India,"New Delhi, Delhi",,,Healthcare & Nursing Jobs,"About the company: HearClear is an official partner of Signia (earlier, Siemens), which is the largest hearing aid manufacturer in the world. We are one of the fastest-growing chains of hearing care and envision establishing a world-class experience for all patients facing hearing loss with top-clas",2026-06-05T17:20:18Z,https://www.adzuna.in/land/ad/5753192969?se=in7baI1p8RGLEaLh4znBvA&utm_medium=api&utm_source=439bd393&v=64F5FA3DC70A7FFE5663A1475924C4330470AED6
SAP VIM Sr Consultant or Assoicate lead Consultant,YASH Technologies,"Hyderabad, Telangana",,,IT Jobs,"Hello Everyone, Our SAP Service Line is currently looking for leading seasoned SAP VIM with FI Functional Skill professionals with hands-on experience. The shortlisted candidate should have the ability to analyze technical needs and work with the customers to develop project scope of work documents ",2026-05-20T17:32:01Z,https://www.adzuna.in/land/ad/5735092067?se=in7baI1p8RGLEaLh4znBvA&utm_medium=api&utm_source=439bd393&v=8B41AC4C07F4326CBBFEFBA719976F71A4C90838
Manager - Retail Projects,The Souled Store,"Mumbai, Maharashtra",,,Retail Jobs,Manager – Retail Projects | Mumbai The Souled Store is one of India's fastest-growing youth fashion brands with 60 stores across the country and an ambitious retail expansion roadmap. We are looking for an experienced Manager – Retail Projects to lead end-to-end store development across Pan India. T,2026-06-11T21:11:24Z,https://www.adzuna.in/land/ad/5760052100?se=2Mdvao1p8RGLEaLh4znBvA&utm_medium=api&utm_source=439bd393&v=49929497FDD3CE260787BFED2BDC8EF350621916
Customer Support Executive,JMD Technologies Inc.,"Jaipur, Rajasthan",,,Customer Services Jobs,Join one of the leading International Voice Processes and build your career in the BPO industry with exciting growth opportunities.  Role Details  Process: Walmart  Position: Customer Support Executive (CSE)  5.5 Working Days | Rotational Shifts & Week Offs ✅ Eligibility Criteria Graduate / Undergra,2026-05-30T08:30:10Z,https://www.adzuna.in/land/ad/5745167798?se=2Mdvao1p8RGLEaLh4znBvA&utm_medium=api&utm_source=439bd393&v=BB87C4DC09839DB8BAF82CF36CA7FA8938FEDE58
Senior Buyer,"CIRCOR International, Inc.","Coimbatore, Tamil Nadu",,,Engineering Jobs,"ORGANIZATIONAL STRUCTURE BUSINESS: CIRCOR INDUSTRIAL LOCATION: COIMBATORE, INDIA DIRECT REPORTING: MANAGER – PLANT SCM FUNCTIONAL REPORTING: NA POSITION DETAILS Position Summary The Buyer provides parts, equipment, and materials by developing sources of supply and monitoring supplier performance, ob",2026-05-20T07:26:34Z,https://www.adzuna.in/land/ad/5734685331?se=2Mdvao1p8RGLEaLh4znBvA&utm_medium=api&utm_source=439bd393&v=79C92D818AB8B7651EE69A06250B196A884AEFCE
Campaign Manager,Kinnect,"Mumbai, Maharashtra",,,"PR, Advertising & Marketing Jobs","Campaign Manager – Salesforce Marketing Cloud & Pardot Role Overview We are looking for a Campaign Manager to lead the execution of high-impact CRM campaigns across global markets. This role sits at the intersection of marketing automation, data driven communication, and campaign operations. You wil",2026-05-29T08:24:05Z,https://www.adzuna.in/land/ad/5744182444?se=2Mdvao1p8RGLEaLh4znBvA&utm_medium=api&utm_source=439bd393&v=8F40FBF3CDBD29A9AF5E885D6E2646D99963E4D1
Veterinary Surgeon,Vetic,"Bangalore, Karnataka",,,Healthcare & Nursing Jobs,"Veterinarian – Bengaluru Clinics Join Vetic and be part of a new-age veterinary healthcare network redefining pet care through advanced medicine, technology, and compassionate service. Role Overview We are seeking a passionate, clinically strong, and patient-focused Veterinarian to join our Bengalur",2026-06-07T07:43:17Z,https://www.adzuna.in/land/ad/5754993858?se=2Mdvao1p8RGLEaLh4znBvA&utm_medium=api&utm_source=439bd393&v=519F59515A2B236033ADD3723E3739BF233FDB53
Cybersecurity Risk Analyst,Vensure Employer Solutions,"Noida, Ghaziabad",,,IT Jobs,"Information security analysts are responsible for improving the overall security posture of the organization. They evaluate, test and document security solutions and controls, and work closely with other security team members to remediate risk while ensuring the business can innovate. Candidate Expe",2026-04-18T17:10:41Z,https://www.adzuna.in/land/ad/5703563889?se=2Mdvao1p8RGLEaLh4znBvA&utm_medium=api&utm_source=439bd393&v=494A810858BE7148E96DEA0125D28D37956048A2
Finance Controller,API Holdings,"Navi Mumbai, Maharashtra",,,Accounting & Finance Jobs,"We are seeking a qualified Chartered Accountant (CA) with 10 years of post-qualification experience Key Responsibilities & Requirements: ● Lead and oversee end-to-end accounting and finance operations, ensuring accuracy, compliance, and timely financial reporting. ● Possess strong knowledge of India",2026-06-15T15:26:37Z,https://www.adzuna.in/land/ad/5764244912?se=2Mdvao1p8RGLEaLh4znBvA&utm_medium=api&utm_source=439bd393&v=890BE69836F8511D7D562B24CD2207426C5CA992
Lead Financial Accounting,Oracle,"Bangalore, Karnataka",,,Accounting & Finance Jobs,Lead Financial Accounting Global Accounting Controllers (GAC) is a key part of Oracle’s Global Controllers Organization. This progressive and innovative team comprises a dynamic group of finance professionals responsible for Oracle’s US GAAP Accounting and Reporting. Role : Perform activities that a,2026-06-06T07:40:23Z,https://www.adzuna.in/land/ad/5753854828?se=2Mdvao1p8RGLEaLh4znBvA&utm_medium=api&utm_source=439bd393&v=2D2F7DE123616F249C4F43DD8D86082A412D20B4
D365 SCM Consultant(Must: Advanced warehouse),Sonata Software,"Bangalore, Karnataka",,,IT Jobs,"Role: D365 SCM Consultant Location: Bangalore/ Hyderabad/Chennai Job Summary We are seeking an experienced Dynamics 365 SCM Consultant with over 10 years of expertise in implementing, configuring, and supporting Microsoft Dynamics 365 Supply Chain Management solutions. The candidate will play a key ",2026-06-03T01:04:39Z,https://www.adzuna.in/land/ad/5749378665?se=2Mdvao1p8RGLEaLh4znBvA&utm_medium=api&utm_source=439bd393&v=B109F812F1824167A9DFE1A2B9D6724B6CDDC5A8
SAP Fiori Consultant,Tata Consultancy Services,"Hyderabad, Telangana",,,IT Jobs,Date Of Virtual Interview : 3-Jun-26 Job Title : SAP Fiori BTP Consultant Experience : 5 to 12 Yrs Location : Hyderabad/Bengaluru Must Have Skills : UI5 Expert with hands on in SAP Business Technology platform 5 – 12 years of experience in app development based on SAP UI technologies (UI5 / Fiori / ,2026-06-02T16:38:03Z,https://www.adzuna.in/land/ad/5749039661?se=2Mdvao1p8RGLEaLh4znBvA&utm_medium=api&utm_source=439bd393&v=DC6DE4C6C439039CF54D89EC0A1B1C20D6D0B01E
Dean - School of Education,P P SAVANI UNIVERSITY,"Surat, Gujarat",,,Teaching Jobs,"Job Description – Dean, School of Education The Dean shall be the academic and administrative head of the School of Education and shall be responsible for the overall planning, development, implementation, monitoring, and quality assurance of all teacher education programs in accordance with the nor",2026-06-14T14:47:54Z,https://www.adzuna.in/land/ad/5763491965?se=2Mdvao1p8RGLEaLh4znBvA&utm_medium=api&utm_source=439bd393&v=AB13AAFE29E71B7B91B2FA257270B9727CC11925
Web Content Writer,GreyB,"Chandigarh, India",,,"PR, Advertising & Marketing Jobs","Job Title: Content Specialist Job Type: Full Time If you're a passionate storyteller, love crafting writing piece with reader as a priority, and have a curious mind-set, then we're looking for you. If you nodded your head in affirmation, we would like to extend you an offer to be a part of one of th",2026-05-22T17:53:16Z,https://www.adzuna.in/land/ad/5737581631?se=2Mdvao1p8RGLEaLh4znBvA&utm_medium=api&utm_source=439bd393&v=289FD9769F60E42783B562AA81940580B8613DEC
Performance Marketing,CAVITAK,"Ahmedabad, Gujarat",,,"PR, Advertising & Marketing Jobs","We are looking for a Performance Marketing Associate who can plan, run, and optimize Meta ad campaigns . Build brand-wise performance marketing strategies Build top, middle, bottom funnel, and re-engagement strategies conscious of market type and buying patterns Work on insight led marketing and dis",2026-06-11T21:03:11Z,https://www.adzuna.in/land/ad/5760048317?se=2Mdvao1p8RGLEaLh4znBvA&utm_medium=api&utm_source=439bd393&v=0DD89FD48D6B3FC7F541214539E405E88977B7A8
HARDWARE DESIGN ENGINEER,Azista Space,"Bangalore, Karnataka",,,Engineering Jobs,"About Us: Join a team that is redefining the accessibility of space. Azista space is a transformative force in the global aerospace sector, uniquely positioned at the intersection of indigenous innovation and industrial scalability. Operating India’s first private-sector satellite mass-production fa",2026-06-06T07:44:01Z,https://www.adzuna.in/land/ad/5753861616?se=2Mdvao1p8RGLEaLh4znBvA&utm_medium=api&utm_source=439bd393&v=027EDA9B02A96044C96FD534C6A13A83130344A7
Accounts Executive I,ARCHER Transnational Systems Pvt. Ltd.,"Vadodara, Gujarat",,,Accounting & Finance Jobs,"Job Summary: An Accounts Executive is responsible for performing timely and accurate bank reconciliations, identifying and resolving unreconciled items, maintaining supporting schedules, maintaining financial records and ensuring the completeness and accuracy of cash-related accounting records. The ",2026-06-14T14:46:37Z,https://www.adzuna.in/land/ad/5763491185?se=2Mdvao1p8RGLEaLh4znBvA&utm_medium=api&utm_source=439bd393&v=93B32F53B65E5555C3905152DB86D5A25BA3AFF3
Senior Project Manager (Marketing Services - US Market),Pepper,"Mumbai, Maharashtra",,,Sales Jobs,"Pepper is building a new category of content and SEO growth platform —where strategy, content, technology, automation, and AI come together to drive measurable business outcomes. Over the last five years, Pepper has built: A network of 150,000 content creators , working with the top 5% talent A cust",2026-04-28T18:46:08Z,https://www.adzuna.in/land/ad/5712733341?se=2Mdvao1p8RGLEaLh4znBvA&utm_medium=api&utm_source=439bd393&v=8D232C68034FB9C69B03A3D127CE3F3875B5EFDE
Senior - 1065 (OP) & 1120S - Tax,Withum,"Ahmedabad, Gujarat",,,Accounting & Finance Jobs,Withum is a place where talent thrives - where who you are matters. It’s a place of endless opportunities for growth. A place where entrepreneurial energy plus inclusive teamwork equals exponential results. Withum empowers clients and our professional staff with innovative tools and solutions to add,2026-05-24T01:55:34Z,https://www.adzuna.in/land/ad/5738989761?se=2Mdvao1p8RGLEaLh4znBvA&utm_medium=api&utm_source=439bd393&v=1689F98FAF9537D737EE570415D239DEFE457D8E
Product Manager,Grexa AI,"Navi Mumbai, Maharashtra",,,IT Jobs,"Location : Vashi, Navi Mumbai Experience : 2 to 5 years About Grexa Grexa AI builds growth software for local businesses in India. Salons, clinics, gyms, tuition centres, restaurants — millions of business owners run successful businesses, but much of their marketing still happens through phone call",2026-06-13T10:53:23Z,https://www.adzuna.in/land/ad/5762136659?se=2Mdvao1p8RGLEaLh4znBvA&utm_medium=api&utm_source=439bd393&v=82ABBBC7C5AB70D6DFE1CD28A870912D664A7E62
Video Editor,Mentor Match,"Chennai, Tamil Nadu",,,"PR, Advertising & Marketing Jobs","About Mentor Match Mentor Match is a fast-growing tutoring platform that connects students with expert mentors worldwide. We focus on creating engaging, impactful, and creative content to inspire learners and parents. We are now seeking a talented Video Editor to join our team in Chennai. Role Overv",2026-06-06T07:37:38Z,https://www.adzuna.in/land/ad/5753853670?se=2Mdvao1p8RGLEaLh4znBvA&utm_medium=api&utm_source=439bd393&v=F0EF9965F09D5C1CFAB878584F708A9105192754
Founding Growth Manager,sociogenie,"Ahmedabad, Gujarat",,,"PR, Advertising & Marketing Jobs"," Hiring: Founding Growth Manager  Ahmedabad (Work From Office)  Full-Time About Sociogenie Sociogenie is an AI-powered social media automation platform helping businesses create, manage, schedule, and publish content more efficiently through AI and automation. We are an early-stage startup, currentl",2026-06-04T16:45:30Z,https://www.adzuna.in/land/ad/5751931659?se=2Mdvao1p8RGLEaLh4znBvA&utm_medium=api&utm_source=439bd393&v=A07E538A59A07E1CBD1AF650C9FCA5B7B28B0E6E
Network Optimization Engineer,A.P. Moller - Maersk,"Bangalore, Karnataka",,,IT Jobs,"Job Title : Network Optimization Engineer Experience: 3–6 years Key Responsibilities Develop and implement optimization models for transportation, network design, capacity planning, and inventory optimization. Apply Operations Research techniques to solve complex supply chain and logistics problems.",2026-06-14T14:48:15Z,https://www.adzuna.in/land/ad/5763492730?se=2Mdvao1p8RGLEaLh4znBvA&utm_medium=api&utm_source=439bd393&v=CB5B6F08D488BD5B53AAB97310A145D36CBEC359
Academic Coordinator,Bangalore Culinary Academy,"Bangalore, Karnataka",,,Teaching Jobs,"Role Overview - The Student Admissions & Lifecycle Executive is responsible for managing the end-to-end student journey , from initial enquiry and acquisition through to onboarding, training coordination, and final placement support. The role requires a strong combination of sales capability, relati",2026-06-16T09:31:54Z,https://www.adzuna.in/land/ad/5765034853?se=2Mdvao1p8RGLEaLh4znBvA&utm_medium=api&utm_source=439bd393&v=B1111FCC364A014EA771E7BDEF7E4C73DB3BAFA7
Senior Dam Design Engineer (Hydraulics),Dar,"Bangalore, Karnataka",,,Engineering Jobs,"Dar Al-Handasah (Shair and Partners) is a renowned multidisciplinary consultancy firm specializing in Architecture, Engineering, Planning, and Environmental Design. With a legacy of over 60 years, we have a global presence and a commitment to delivering innovative and sustainable solutions to our cl",2026-06-04T16:49:02Z,https://www.adzuna.in/land/ad/5751934567?se=2Mdvao1p8RGLEaLh4znBvA&utm_medium=api&utm_source=439bd393&v=0D0E794EB65B0E952F0AC397F8826845181CD8A8
Manager - Biddable Media,Havas Media Network India,"Chennai, Tamil Nadu",,,"PR, Advertising & Marketing Jobs","Role Overview: We are seeking a high-performing Manager - Biddable Media to anchor our Social and Search capability in Chennai, with Paid Social serving as the primary discipline . Beyond channel execution, this role is highly operational. You will own the local-side delivery of our cross-border tas",2026-05-27T18:12:29Z,https://www.adzuna.in/land/ad/5742257208?se=2Mdvao1p8RGLEaLh4znBvA&utm_medium=api&utm_source=439bd393&v=52F94CCF942D2622B00081D73A211FAC61A7C794
Senior Procurement Specialist,Black Box,"Mumbai, Maharashtra",,,IT Jobs,"Position: Sr. Associate / Lead - Procurement Location: Mumbai Job Type: Full-time Reports to: SCM Head About the Role: The Sr. Associate / Lead - Procurement will support the solution integration team by managing procurement processes, coordinating with vendors, and overseeing order management. This",2026-05-23T17:53:14Z,https://www.adzuna.in/land/ad/5738770966?se=2Mdvao1p8RGLEaLh4znBvA&utm_medium=api&utm_source=439bd393&v=13354031CE1E194696695DDD4DD2CEAE16667908
Associate Professor of Mathematics,Newton School of Technology,"Sonipat, Haryana",,,Teaching Jobs,"Job Title: Mathematics Associate Professor Location: Sonipat (On-Site, Full-time) Institution: Newton School of Technology Experience: 3 years in teaching/training advanced engineering mathematics. About the Role: Overview : Newton School and Rishihood Institute have partnered to transform technolog",2026-06-05T17:20:48Z,https://www.adzuna.in/land/ad/5753193406?se=2Mdvao1p8RGLEaLh4znBvA&utm_medium=api&utm_source=439bd393&v=9E77A84135A85AE4476E1D837D23BF67DFC3FFF8
Senior Graphic Designer,Cleantech Industry Resources ,"Chennai, Tamil Nadu",,,Creative & Design Jobs,"GRAPHIC DESIGNER Who We Are? Cleantech Industry Resources accelerates solar, wind, green hydrogen, battery storage, and EV infrastructure projects across the United States, India, and EMEA markets. The company provides turnkey ""Development as a Service,"" powered by 100% internal systems engineering ",2026-06-03T16:45:49Z,https://www.adzuna.in/land/ad/5750507667?se=2Mdvao1p8RGLEaLh4znBvA&utm_medium=api&utm_source=439bd393&v=43D6EB02294BABCEF895274391D6F6CF79F0AFA2
Product Specialist Mutual Funds,Avani Consulting,"Jaipur, Rajasthan",,,Sales Jobs,"JD - Product Specialist(Investment Counselor) /B2C 1) Responsible for Concept Selling across the region, leveraging distributor relationships 2) Responsible for Product Level targets for the Zone for certain specified products across Equity and Debt, create positive environment to drive product spec",2026-06-13T10:49:02Z,https://www.adzuna.in/land/ad/5762123754?se=2Mdvao1p8RGLEaLh4znBvA&utm_medium=api&utm_source=439bd393&v=D587E1BB400A7C0CCD6CAF6CA8891E05F4D01C76
Artificial Intelligence Engineer,NCS Group,India,,,IT Jobs,"NCS is a leading AI Tech Services company. With a 15,000-strong team across the Asia Pacific, NCS scales its platforms and capabilities to provide clients with greater agility and AI expertise across a range of Industries. Embracing a strong ecosystem of global partners, NCS transforms technology se",2026-05-28T18:20:32Z,https://www.adzuna.in/land/ad/5743507196?se=2Mdvao1p8RGLEaLh4znBvA&utm_medium=api&utm_source=439bd393&v=3820122CB59BDFC90E6D3036D1819FFD2473D173
SAP Opentext VIM Consultant,Noblq,India,,,IT Jobs,We are seeking an experienced OpenText VIM (Vendor Invoice Management) Functional SAP Consultant to join our team. The ideal candidate will have a strong background in SAP Accounts Payable processes and hands-on experience with OpenText VIM solutions. This role involves working closely with business,2026-05-29T08:20:36Z,https://www.adzuna.in/land/ad/5744179770?se=2Mdvao1p8RGLEaLh4znBvA&utm_medium=api&utm_source=439bd393&v=247E460A1F52F4E93B200AF74DAFED634D721847
Corporate Relations Specialist,SANJIVANI UNIVERSITY,"Hyderabad, Telangana",,,HR & Recruitment Jobs,About the Company Job Title- Assistant Manager - Corporate Relations Reporting - VP Corporate Relations About the Role A short paragraph summarizing the key role responsibilities. Responsibilities Plan and execute campus placement drives and internship opportunities for students Develop and maintain,2026-06-15T01:01:07Z,https://www.adzuna.in/land/ad/5763745133?se=2Mdvao1p8RGLEaLh4znBvA&utm_medium=api&utm_source=439bd393&v=F5416A1EE54FEC066A7DFE1ED3AF5461A8667B8F
Senior Interior Designer,Livspace,"Patna, Bihar",,,Creative & Design Jobs,"JOB DESCRIPTION As an Interior Designer, you should have excellent creative thinking skills and be able to create designs based on conversations with a client. You should be confident communicating regularly with clients in order to assess their needs and be able to adjust a given approach based on ",2026-05-06T16:17:52Z,https://www.adzuna.in/land/ad/5720301816?se=2Mdvao1p8RGLEaLh4znBvA&utm_medium=api&utm_source=439bd393&v=F0741B5507685BBBDA00E90139C99655686270C3
Director of Financial Planning and Analysis,GetixHealth,India,,,Accounting & Finance Jobs,"Role Overview GetixHealth is seeking a Director of Financial Planning & Analysis (FP&A) to build and lead a high-impact FP&A function supporting a growing, multi-entity business. Reporting to the Chief Financial Officer, this individual will act as a strategic partner to executive leadership , drivi",2026-05-24T17:55:33Z,https://www.adzuna.in/land/ad/5739767415?se=2Mdvao1p8RGLEaLh4znBvA&utm_medium=api&utm_source=439bd393&v=0A53AD76D3EFB22959D073A9AA969C76FF593390
Oracle eBS Discrete Manufacturing,The Glove,"Bangalore, Karnataka",,,IT Jobs,Hiring: Oracle EBS Functional Consultant – Manufacturing  Location: Pan India  Experience: 6–10 Years We are looking for an experienced Oracle EBS Functional Consultant with strong expertise in Oracle EBS Manufacturing modules and Oracle PL/SQL. The ideal candidate should have hands-on experience in,2026-06-01T10:18:35Z,https://www.adzuna.in/land/ad/5747037984?se=2Mdvao1p8RGLEaLh4znBvA&utm_medium=api&utm_source=439bd393&v=F088DF08F7037F9741DD27C15B5BF21A99046668
MYP DP Career Counsellor,Bloomingdale International School,"Andhra Pradesh, India",,,Teaching Jobs,"“Candidates from outside India are welcome to apply. Relocation assistance can be discussed.” Important Note: ""Candidates are requested to thoroughly review the job description before applying. Only candidates whose qualifications and experience match the role requirements are encouraged to apply. A",2026-05-22T17:47:48Z,https://www.adzuna.in/land/ad/5737563945?se=2Mdvao1p8RGLEaLh4znBvA&utm_medium=api&utm_source=439bd393&v=8DD306B95B94353C035DA43E73F201871A0CD3E5
Lead Technical Support Engineer,ClearTrail Technologies,"Noida, Ghaziabad",,,IT Jobs,"What we do? At ClearTrail, work is more than ‘just a job’. Our calling is to develop solutions that empower those dedicated to keep their people, places and communities safe. For over 24 years, law enforcement & federal agencies across the globe have trusted ClearTrail as their committed partner in ",2026-05-21T17:39:37Z,https://www.adzuna.in/land/ad/5736373382?se=2Mdvao1p8RGLEaLh4znBvA&utm_medium=api&utm_source=439bd393&v=86427F565DC366A7BFA725E28B09D55956EC75D5
Technical Editor,KnowledgeWorks Global Ltd.,"Mumbai, Maharashtra",,,Manufacturing Jobs," Excellent Opportunity for Freshers – Mumbai Location!   Are you a recent graduate looking to kick-start your career with a global organization? KnowledgeWorks Global Ltd. (KGL) is hiring Technical Editors!  Location: Mumbai  Role: Technical Editing (Content Review, Proofreading & Quality Checks)  S",2026-06-03T16:35:15Z,https://www.adzuna.in/land/ad/5750487393?se=2Mdvao1p8RGLEaLh4znBvA&utm_medium=api&utm_source=439bd393&v=EB8013BB09D702EC70F0DA985621A8C17A5ECEF0
Teacher,Alphabit School,India,,,Teaching Jobs,"Company Description Alphabit School is an online learning platform that offers a comprehensive, standards-aligned curriculum for students of all ages. The school uses technology to make high-quality education accessible from anywhere, allowing learners to study at their own pace and on their own sch",2026-06-12T02:13:59Z,https://www.adzuna.in/land/ad/5760294824?se=2Mdvao1p8RGLEaLh4znBvA&utm_medium=api&utm_source=439bd393&v=E57FE9CEB6E1E8F014B99E7305D0161E7145FB79
Data Architect,ValueMomentum,"Hyderabad, Telangana",,,IT Jobs,"Data / ETL Architect Experience: 14 years Skills : Databricks, ETL, Pyspark, Python, Presales Requirements Minimum eight years of relevant experience as a data architect or data engineer building large-scale data solutions. P&C domain experience a must. Bachelor’s degree in engineering, Information ",2026-06-11T21:08:04Z,https://www.adzuna.in/land/ad/5760050030?se=2Mdvao1p8RGLEaLh4znBvA&utm_medium=api&utm_source=439bd393&v=DE9163DB2F27580641C1E1B96D0FDC30AAFA97D3
Senior Data Engineer,Persistent Systems,India,,,IT Jobs,"About Position: We are seeking a highly skilled Senior Data Engineer to design and build AI-ready data platforms with a strong focus on Master Data Management (MDM), scalable data pipelines, and Retrieval-Augmented Generation (RAG) architectures. The role involves enabling enterprise-wide harmonized",2026-06-01T10:18:14Z,https://www.adzuna.in/land/ad/5747037914?se=2Mdvao1p8RGLEaLh4znBvA&utm_medium=api&utm_source=439bd393&v=CF6F50FACC8DD23768E55FCE6C73E2DCC2ECEB82
